,q,m,Correlation
0,2,1,0.686642716833494
1,3,1,0.6042776562480348
2,5,1,0.8120593129368938
3,7,1,0.8345578562605973
4,10,1,0.8558160421200881
5,15,1,0.8832881189195916
6,25,1,0.9510562399613087
7,50,1,0.9759964320614003
8,2,2,0.6576875430050839
9,3,2,0.5825327582211923
10,5,2,0.8212858314358196
11,7,2,0.8516624772302858
12,10,2,0.862679572016138
13,15,2,0.8881036953037428
14,25,2,0.9589853952086753
15,50,2,0.9763370263684615
16,2,4,0.6536343817179597
17,3,4,0.6187617573990029
18,5,4,0.819212618142864
19,7,4,0.8680248714471267
20,10,4,0.8526256541026384
21,15,4,0.8852127439153274
22,25,4,0.947028714932449
23,50,4,0.9727631779064158
24,2,12,0.7180702976243264
25,3,12,0.6624027408084509
26,5,12,0.8171085186328404
27,7,12,0.854813844931611
28,10,12,0.8277654219672408
29,15,12,0.8866851139079721
30,25,12,0.9529094866529452
31,50,12,0.9698323558413083
