,q,m,Correlation
0,1,1,0.7189254921301858
1,5,1,0.811716823874854
2,10,1,0.8552327583261619
3,25,1,0.9505600090737154
4,50,1,0.975792153993927
5,1,2,0.7189254921301858
6,5,2,0.8209824097690022
7,10,2,0.8621532250519682
8,25,2,0.9586250836385012
9,50,2,0.9760188927226756
10,1,4,0.7189254921301858
11,5,4,0.818960940612753
12,10,4,0.8521976219694856
13,25,4,0.9465922799615131
14,50,4,0.9724364075606772
15,1,6,0.7189254921301858
16,5,6,0.8154546101518039
17,10,6,0.8326158941294368
18,25,6,0.9432943583619835
19,50,6,0.9699659887385134
20,1,12,0.7189254921301858
21,5,12,0.8168454871843603
22,10,12,0.8273520076548861
23,25,12,0.9525802349791309
24,50,12,0.9694877952334825
